,DayOfWeek,WeekOfMonth,Month,PopulationDensity,lag_1,lag_2,lag_3,States_Arunachal Pradesh,States_Assam,States_Bihar,States_Chandigarh,States_Chhattisgarh,States_DNH,States_Delhi,States_Goa,States_Gujarat,States_HP,States_Haryana,States_J&K,States_Jharkhand,States_Karnataka,States_Kerala,States_MP,States_Maharashtra,States_Manipur,States_Meghalaya,States_Mizoram,States_Nagaland,States_Odisha,States_Pondy,States_Punjab,States_Rajasthan,States_Sikkim,States_Tamil Nadu,States_Telangana,States_Tripura,States_UP,States_Uttarakhand,States_West Bengal
0,2,1,1,1.0,0.4480643924875431,0.24913760061326176,0.2292065925642008,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,1,1,0.07189716312056739,0.16385588348026062,0.4480643924875431,0.24913760061326176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,2,1,1,0.01524822695035461,0.6009965504024529,0.16385588348026062,0.4480643924875431,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,2,1,1,0.009397163120567376,0.0774243004982752,0.6009965504024529,0.16385588348026062,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2,1,1,0.024822695035460998,0.05691835952472211,0.0774243004982752,0.6009965504024529,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2,1,1,0.029521276595744685,0.1000383288616328,0.05691835952472211,0.0774243004982752,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2,1,1,0.01524822695035461,0.009007282483710233,0.1000383288616328,0.05691835952472211,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2,1,1,0.025797872340425534,0.15024913760061323,0.009007282483710233,0.1000383288616328,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2,1,1,0.01941489361702128,0.6117286316596396,0.15024913760061323,0.009007282483710233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2,1,1,0.03085106382978724,0.48428516673054806,0.6117286316596396,0.15024913760061323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
