,Usage
0,85.8
1,313.9
2,40.7
3,30.0
4,52.5
5,5.0
6,78.7
7,319.5
8,253.0
9,428.6
10,12.8
11,18.6
12,164.6
13,204.2
14,206.3
15,72.7
16,268.3
17,6.3
18,82.3
19,24.8
20,70.2
21,108.2
22,2.0
23,2.1
24,21.7
25,2.7
26,6.1
27,1.9
28,2.2
29,3.4
30,121.9
31,133.5
32,240.2
33,85.5
34,311.8
35,39.3
36,30.1
37,54.1
38,4.9
39,78.8
40,316.7
41,253.6
42,419.6
43,13.7
44,18.2
45,170.1
46,204.5
47,212.2
48,73.6
49,285.2
50,6.5
51,82.0
52,25.6
53,67.9
54,110.2
55,1.9
56,2.2
57,23.4
58,2.4
59,6.5
60,1.8
61,2.2
62,3.6
63,118.8
64,128.2
65,239.8
66,83.5
67,320.7
68,38.1
69,30.1
70,53.2
71,4.8
72,74.8
73,301.9
74,239.3
75,395.8
76,12.6
77,16.7
78,165.2
79,201.2
80,205.3
81,73.4
82,270.3
83,6.4
84,82.9
85,26.3
86,66.3
87,106.8
88,1.7
89,2.2
90,21.7
91,2.4
92,6.3
93,1.7
94,2.2
95,3.5
96,121.0
97,127.5
98,239.1
99,79.2
100,299.0
101,39.2
102,30.2
103,51.5
104,4.3
105,69.0
106,313.2
107,228.2
108,411.1
109,13.0
110,17.6
111,167.4
112,201.7
113,212.4
114,75.4
115,286.8
116,6.6
117,77.0
118,23.0
119,65.8
120,107.0
121,2.0
122,2.2
123,22.5
124,2.7
125,5.7
126,1.8
127,2.3
128,3.5
129,121.4
130,132.6
131,240.4
132,76.6
133,286.8
134,39.2
135,31.0
136,53.2
137,4.3
138,68.1
139,320.7
140,227.4
141,408.6
142,12.9
143,18.6
144,171.2
145,194.9
146,217.5
147,75.4
148,298.3
149,7.2
150,76.4
151,22.6
152,62.9
153,106.4
154,2.0
155,2.2
156,21.7
157,2.7
158,6.2
159,1.9
160,2.3
161,3.3
162,118.0
163,132.1
164,241.9
165,71.1
166,294.2
167,40.1
168,30.1
169,53.3
170,4.0
171,73.1
172,319.4
173,230.3
174,408.1
175,12.7
176,18.3
177,166.4
178,191.9
179,217.4
180,74.9
181,294.2
182,7.0
183,75.3
184,23.9
185,64.0
186,109.3
187,1.5
188,2.2
189,21.4
190,2.5
191,6.1
192,1.8
193,2.3
194,3.3
195,107.5
196,121.4
197,237.2
198,69.0
199,289.4
200,37.0
201,29.2
202,51.2
203,3.8
204,74.2
205,307.9
206,228.8
207,398.2
208,10.9
209,18.1
210,160.8
211,190.8
212,201.0
213,68.2
214,279.2
215,6.5
216,76.2
217,23.3
218,63.6
219,102.9
220,1.6
221,2.3
222,20.7
223,2.6
224,6.2
225,1.8
226,2.1
227,3.3
228,132.5
229,148.2
230,197.0
231,89.2
232,258.6
233,35.9
234,25.3
235,37.9
236,3.9
237,77.2
238,260.0
239,162.5
240,400.9
241,12.1
242,18.0
243,163.0
244,167.5
245,173.6
246,67.9
247,280.4
248,7.6
249,56.4
250,19.2
251,86.6
252,131.7
253,1.1
254,2.1
255,25.8
256,2.3
257,6.0
258,1.7
259,2.4
260,4.2
261,131.5
262,157.0
263,199.9
264,92.8
265,284.2
266,35.3
267,26.5
268,31.7
269,3.9
270,79.0
271,268.3
272,159.6
273,409.7
274,12.1
275,17.8
276,168.8
277,173.4
278,176.0
279,68.9
280,290.8
281,7.9
282,69.9
283,21.8
284,78.8
285,140.1
286,1.1
287,2.1
288,25.8
289,2.4
290,6.2
291,1.7
292,2.1
293,4.3
294,130.3
295,145.3
296,187.7
297,79.5
298,281.4
299,30.1
300,23.9
301,37.3
302,3.4
303,80.7
304,275.0
305,154.3
306,405.2
307,12.1
308,16.9
309,167.7
310,166.7
311,157.0
312,67.4
313,270.5
314,7.1
315,76.2
316,23.3
317,78.4
318,149.8
319,0.8
320,2.1
321,27.9
322,2.4
323,6.2
324,1.8
325,2.1
326,4.3
327,137.9
328,151.9
329,189.9
330,92.6
331,298.6
332,34.7
333,26.4
334,34.6
335,4.0
336,85.2
337,294.1
338,161.1
339,421.8
340,12.2
341,17.6
342,168.1
343,173.2
344,163.5
345,69.9
346,298.4
347,8.0
348,82.3
349,24.3
350,82.4
351,154.7
352,1.0
353,2.1
354,30.1
355,2.5
356,6.0
357,1.8
358,2.0
359,4.6
360,135.8
361,141.4
362,186.9
363,89.4
364,310.0
365,36.7
366,26.4
367,32.7
368,3.8
369,87.6
370,301.2
371,168.6
372,408.3
373,12.4
374,17.6
375,164.9
376,176.9
377,162.4
378,72.4
379,314.1
380,8.4
381,87.7
382,24.8
383,84.3
384,155.3
385,1.0
386,2.1
387,30.1
388,2.5
389,5.9
390,1.8
391,2.2
392,4.8
393,139.3
394,143.8
395,195.2
396,82.2
397,319.5
398,35.5
399,26.9
400,37.6
401,3.5
402,89.6
403,305.6
404,170.7
405,406.3
406,12.4
407,18.5
408,163.3
409,177.0
410,156.7
411,69.6
412,305.9
413,8.3
414,88.2
415,24.8
416,85.7
417,143.9
418,0.9
419,2.1
420,31.7
421,2.5
422,5.4
423,1.8
424,2.1
425,5.0
426,141.1
427,142.9
428,185.4
429,77.8
430,326.7
431,34.3
432,25.6
433,39.5
434,3.2
435,88.0
436,290.5
437,170.2
438,392.1
439,12.4
440,17.3
441,160.7
442,174.3
443,138.7
444,64.2
445,288.7
446,7.4
447,93.7
448,24.8
449,82.1
